অভ্যর্থনাকারী	obhyorthonakari	ovvorthonakari	obhyarthonakari	obhyortho-nakari	obhyarthanakari
স্বেচ্ছাসেবক	swechchhashebok	swechchhasebak	swechchha-shebok	swechchhasebaka	swechchhashebok
স্বেচ্ছাচারিতা	swechchhacharita	swechchhacharita	swechchha-charita	swechchhacharita	swechchhacharita
স্বেচ্ছানির্বাসন	swechchhanirbashon	swechchhanirvasan	swechchha-nirbashon	swechchhanirvasana	swechchhanirbashon
স্বর্ণাক্ষরে	swornakkhore	swarnakshare	sworno-kkhore	swarnakshare	swornakkhore
স্বর্ণপদকপ্রাপ্ত	swornopodokprapto	swarnapadakaprapta	sworno-podok-prapto	swarnapadakaprapta	swornopodokprapto
হস্তক্ষেপমূলক	hostokkhepmulok	hastakshepamulaka	hostokkhep-mulok	hastakshepamulaka	hostokkhepmulok
হস্তলিপিবিশেষজ্ঞ	hostolipibisheshoggo	hastalipibisheshagya	hostolipi-bisheshoggo	hastalipibisheshagya	hostolipibisheshoggo
হস্তান্তরযোগ্য	hostantorjoggo	hastantarayogya	hostantor-joggo	hastantarayogya	hostantorjoggo
হৃদস্পন্দন	hridspandon	hridayaspandan	hrid-spandon	hridayaspandana	hridspandon
হৃদরোগবিশেষজ্ঞ	hridrogbisheshoggo	hridrogabisheshagya	hridrog-bisheshoggo	hridrogabisheshagya	hridrogbisheshoggo
হৃদয়গ্রাহী	hridoygrahi	hridayagrahi	hridoy-grahi	hridayagrahi	hridoygrahi
হৃদয়বিদারক	hridoybidarok	hridayabidaraka	hridoy-bidarok	hridayabidaraka	hridoybidarok
হৃষ্টপুষ্ট	hrishtopushto	hrishtapushta	hrishto-pushto	hrishtapushta	hrishtopushto
হ্রাসপ্রাপ্ত	hrashprapto	hrasaprapta	hrash-prapto	hrasaprapta	hrashprapto
হ্রস্বদীর্ঘ	hroshwodirgho	hraswadIrgha	hroshwo-dirgho	hraswadIrgha	hroshwodirgho
হ্লাদিনীশক্তি	hladinishokti	hladinishakti	hladini-shokti	hladinishakti	hladinishokti
ক্ষমতায়ন	khomotayon	khomotayôn	khomota-yon	kshomotayon	khomotayan
খণ্ডকালীন	khondokalin	khondokalīn	khondo-kalin	khandokalin	khondokaleen
খণ্ডনযোগ্য	khondonjoggo	khondonjogya	khondo-njoggo	khandanajogya	khondonjoggo
খণ্ডিতাংশ	khonditangsho	khonditoangsho	khonditansho	khondo-tangsho	khanditansha
খণ্ডক্ষেত্র	khondokkhetro	khondokhetro	khondo-khetro	khandakshetra	khondokkhettro
খ্রিস্টপূর্ব	khristopurbo	khristopurba	khristo-purbo	khrishtopurbo	christopurbo
খ্রিস্টাব্দ	khristabdo	khristabda	khristo-abdo	khrishtabdo	christabdo
গঙ্গোত্রী	gonggotri	gangotri	gonggo-tri	ganggotri	gonggotree
গঙ্গাজল	gonggajol	gangajal	gonggo-jol	ganggajol	gonggojal
গণতন্ত্র	gonotontro	gonotantro	gono-tontro	ganatantra	gonotontro
গণমাধ্যম	gonomaddhom	gonamaddhom	gono-maddhom	ganamadhyam	gonomadhdhom
গণসংযোগ	gonoshongjog	gonosongjog	gono-shongjog	ganasangjog	gonosonjog
গণপ্রজাতন্ত্রী	gonoprojatontri	gonoprojatontree	gono-projatontri	ganaprajatantri	gonoprojatontro
গন্ধর্ব	gondhorbo	gandharbo	gondhorbo	gondho-rbo	gandharva
গর্ভধারণ	gorbhodharon	garbhodharon	gorbho-dharon	gorbhodharon	garbhadharan
গর্ভনিরোধক	gorbhonirodhok	garbhonirodhok	gorbho-nirodhok	gorbhonirodhok	garbhaniradhak
গর্ভস্থ	gorbhostho	garbhostho	gorbho-stho	gorbhasto	garbhastha
গল্পচ্ছলে	golpochchhole	golpochchole	golpo-cchole	galpachchhole	golpochhole
গুপ্তধন	guptodhon	guptodhan	gupto-dhon	guptadhan	guptodhon
গুপ্তচরবৃত্তি	guptochorbritti	guptochorbritti	gupto-chorbritti	guptacharbritti	guptochorbritti
গৃহস্থালি	grihosthali	grihosthali	griho-sthali	grihasthali	grihosthalee
গৃহীতব্য	grihitobbo	grihitabbo	grihito-bbo	grihitobyo	grihitabya
গৃহসজ্জা	grihoshajja	grihosojja	griho-shajja	grihasajja	grihoshôjja
গ্রন্থাগার	gronthagar	granthagar	grontho-gar	granthagara	gronthagar
গ্রন্থস্বত্ব	gronthoshotto	granthoswotto	grontho-shotto	granthaswatwa	gronthoswotto
গ্রন্থপ্রণেতা	gronthoproneta	granthoproneta	grontho-proneta	granthapraneta	gronthoproneta
গ্রন্থিত	gronthito	granthito	gronthit	granthita	gronthito
গ্রাম্যতা	grammyota	gramota	grammyota	gramyo-ta	gramyata
গ্রাহ্যযোগ্য	grahhojoggo	grahyajoggo	grahho-joggo	grahyayogya	grahhojoggo
ঘনিষ্ঠতা	ghonishtota	ghanishtota	ghonishto-ta	ghanisthata	ghonishtota
ঘর্ষণজনিত	ghoshonjonito	ghorShonjonito	ghorshon-jonito	gharshanajanita	ghorshonjonito
ঘ্রাণশক্তি	ghranshokti	ghranshakti	ghran-shokti	ghranshokti	ghranashakti
ঘোষণাপত্র	ghoshonapotro	ghoshonapatro	ghoshona-potro	ghoshanapatra	ghoshonapotro
চক্ষুশূল	chokkhushul	chokkhu-shul	chakshushul	chokkhushool	chakshushoola
চক্ষুদান	chokkhudan	chokkhu-dan	chakshudan	chokkhudaan	chakshudana
চক্ষুবিশেষজ্ঞ	chokkhubisheshoggo	chokkhubiseshoggo	chokkhu-bisheshoggo	chakshubisheshagya	chokkhubiseshoggô
চঞ্চলতা	choncholota	chancholota	choncholo-ta	chanchalata	choncholota
চন্দ্রগ্রহণ	chondrogrOhon	chondrogrOhon	chondro-grohon	chandragrahan	chondrogrôhon
চন্দ্রালোকে	chondroaloke	chondraloke	chondro-aloke	chandraloke	chondroaloke
চন্দ্রবিন্দু	chondrobindu	chondrobindu	chondro-bindu	chandrabindu	chondrobindo
চিত্রগ্রহণ	chitrogrohon	chitro-grohon	chitragrohon	chitrogrohon	chitragrohan
চিত্রনাট্য	chitronattyo	chitronatyo	chitro-natyo	chitranatya	chitronattyo
চিত্রশিল্পী	chitroshilpi	chitro-shilpi	chitrashilpi	chitroshilpee	chitroshilpi
চ্ছত্রভঙ্গ	cchotrobhonggo	chchotrobhonggo	cchotro-bhonggo	chhatrabhanga	cchotrobhanggo
ছিন্নভিন্ন	chhinnobhinno	chinnobhinno	chhinno-bhinno	chinnabhinnna	chhinnobhinno
ছিন্নমূল	chhinnomul	chinnomul	chhinno-mul	chinnamula	chhinnomool
ছদ্মবেশী	chhodmobeshi	chadmobeshi	chhodmo-beshi	chhadmabeshi	chhodmobeshee
ছদ্মনাম	chhodmonam	chadmonam	chhodmo-nam	chhadmanam	chhodmonam
ছদ্মবিজ্ঞান	chhodmobiggan	chadmobiggan	chhodmo-biggan	chhadmabigyan	chhodmobiggan
জন্মগত	jonmogoto	janmogoto	jonmo-goto	janmagata	jonmogoto
জন্মনিয়ন্ত্রণ	jonmoniyontron	janmoniyontron	jonmo-niyontron	janmaniyantran	jonmoniyontron
জন্মাষ্টমী	jonmashtomi	janmashtomi	jonmo-shtomi	janmashtami	jonmashtomee
জন্মান্তর	jonmantor	janmantor	jonmo-antor	janmantar	jonmantor
জ্ঞানচর্চা	ggyanchorcha	gyanchoRcha	gyan-charcha	jnanchorcha	ggyanchorcha
জ্ঞানতত্ত্ব	ggyantotto	gyantotto	gyan-totto	jnantattwa	ggyantotto
জ্ঞানপিপাসু	ggyanpipashu	gyanpipashu	gyan-pipashu	jnanapipashu	ggyanpipashu
জ্ঞানেন্দ্রিয়	ggyanendriyo	gyanendriyo	gyan-endriyo	jnanendriya	ggyanendriyo
জ্যোতির্বিজ্ঞান	jyotirbiggan	jyotirbigyan	jyotir-biggan	jyotirvijnan	jyotirbiggan
জ্যোৎস্নালোকে	jyotsnaloke	jotsnaloke	jyotsna-loke	jyotsnaloke	jyotsnalokay
জ্যেষ্ঠত্ব	jyeshthotto	jeshthotto	jyeshtho-tto	jyeshthatwa	jyeshtotto
ঝঞ্ঝাবিক্ষুব্ধ	jhonjhabikkhubdho	jhanjhabikshubdho	jhonjha-bikkhubdho	jhanjhabikshubdha	jhonjhabikkhubdho
ঝঞ্ঝাপ্রবাহ	jhonjhaprobaho	jhanjhaprobaho	jhonjha-probaho	jhanjhaprabaha	jhonjhaprobaho
টঙ্কারধ্বনি	tonkardhwoni	tankardhwoni	tonkar-dhwoni	tankaradhwani	tonkardhwoni
ট্রান্সক্রিপ্ট	transkript	transcripto	trans-kript	transkripto	transkript
ট্র্যাজেডি	trajedi	tragedy	tryaJedi	tra-jedi	trajedy
ট্রান্সফরমার	transformer	transphormar	trans-formar	transphormer	transformer
ট্র্যাকিংসিস্টেম	tracking-system	tracking-sistem	trackingsystem	tracking-sistam	traking-system
ডঙ্কাধ্বনি	donkadhwoni	dankadhwoni	donka-dhwoni	dankadhwani	donkadhwoni
ড্রাইভারবিহীন	driverbihin	draiverbihin	driver-bihin	draivarabihin	driverbiheen
ড্রোনপ্রযুক্তি	droneprojukti	dronprojukti	drone-projukti	dronoprojukti	droneprojuktee
ঢাকঢোল	dhakdhol	dhak-dhol	dhakdhol	dhakadhol	dhakdhol
তত্ত্বাবধান	tottabodhan	tattwabodhan	tottwo-bodhan	tattwabadhan	tottabodhan
তত্ত্বজ্ঞ	tottoggo	tattwaggo	tottwo-ggô	tattwagnya	tottoggo
তত্ত্বীয়	tottiyo	tattwiyo	tottwo-iyo	tattwiya	tottiyo
তত্ত্বানুসন্ধান	tottanushondhan	tattwanushondhan	tottwo-anushondhan	tattwanusandhan	tottanushondhan
তন্ত্রমন্ত্র	tontromontro	tantramantro	tontro-montro	tantramantra	tontromontro
তন্ত্রজ্ঞ	tontroggo	tantraggya	tontro-ggô	tantragnya	tontroggo
তন্ত্রশাস্ত্র	tontroshastro	tantrashastro	tontro-shastro	tantrashastra	tontroshastro
তৎক্ষণাৎ	totkhonat	tatkshonat	totkhonat	tatkshanat	totkhonat
তদ্ব্যতীত	todbyotito	tadbyotito	todbyotit	tadvyatito	todbyotito
তদ্ভব	todbhob	tadbhob	tod-bhob	tadbhava	todbhob
তদ্রূপ	todroup	tadroup	tod-rup	tadrupa	todroop
তন্ময়তা	tonmoyota	tanmoyota	tonmoyo-ta	tanmayata	tonmoyota
তন্মধ্যে	tonmoddhe	tanmaddhe	tonmo-ddhe	tanmadhye	tonmoddhe
তপ্তকাঞ্চন	toptokanchon	taptokanchon	topto-kanchon	taptakanchan	toptokanchon
তর্কবিতর্ক	torkobitorko	tarkobitarko	torko-bitorko	tarkavitarka	torkobitorko
তর্কশাস্ত্র	torkoshastro	tarkashastro	torko-shastro	tarkashastra	torkoshastro
ত্রিকোণমিতি	trikonmiti	trikonmiti	trikoN-miti	trikonamiti	trikonmiti
ত্রিমাত্রিক	trimatrik	trimatriko	tri-matrik	trimatrika	trimatrik
ত্র্যহস্পর্শ	tryohosporSho	tryahosparsho	tryoho-sparsho	tryahasparsha	tryohosporSho
ত্র্যয়োদশ	tryoyodosh	tryayodosh	tryoyo-dosh	tryayodasha	tryoyodosh
ত্রিশঙ্কু	trishonku	trishanku	trishonku	trishanku	trishonku
ত্রুটিমুক্ত	trutimukto	truti-mukto	trutimukto	trutimoKto	trutimuKta
ত্বরণশীল	ttoronshil	tworonshil	tworon-shil	twaranshil	ttoronshil
ত্বকবিশেষজ্ঞ	ttokobisheshoggo	twokobisheshoggo	twoko-bisheshoggo	twakabisheshagya	ttokobiseshoggô
ত্বষ্টা	ttoshTa	twoshta	twoshTa	twashta	ttoshTa
থ্রিডিপ্রিন্টিং	three-dee-printing	3d-printing	thriDi-printing	threedeeprinting	thri-di-printing
দণ্ডপ্রাপ্ত	dondoprapto	dandoprapto	dondo-prapto	dandaprapta	dondoprapto
দণ্ডবিধি	dondobidhi	dandobidhi	dondo-bidhi	dandabidhi	dondobidhi
দন্ত্যধ্বনি	donttodhwoni	dantyodhwoni	dontto-dhwoni	dantyadhwani	donttodhwoni
দুর্ভাগ্যজনক	durbhaggojonok	durbhaggyojonok	durbhaggo-jonok	durbhagyajanak	durbhaggojonok
দুর্বোধ্যতা	durbodhdhota	durbodhyota	durbodhyo-ta	durbodhyata	durbodhdhota
দুর্বৃত্তায়ন	durbrittyayon	durbrittoyon	durbritto-yon	durvrittayan	durbrittyayon
দুর্বিষহ	durbishoh	durbishaho	dur-bishoh	durvishaha	durbishoh
দুর্দান্ত	durdanto	durdanta	dur-danto	durdanta	durdanto
দুর্নীতিগ্রস্ত	durnitigrasto	durnitigrasto	durniti-grasto	durnitigrasta	durnitigrasto
দুর্নিবার	durnibar	durnibar	dur-nibar	durnibara	durnibar
দুর্গমতা	durgomota	durgamota	durgomo-ta	durgamata	durgomota
দুর্ঘটনাপ্রবণ	durghotonaprobOn	durghotonaprobon	durghotona-probon	durghatanaprabana	durghotonaprobon
দৃষ্টান্তমূলক	drishtantomulok	drishtantamulok	drishtanto-mulok	drishtantamulaka	drishtantomulok
দৃষ্টিভঙ্গি	drishtibhongi	drishtivongi	drishti-bhongi	drishtibhangi	drishtibhongi
দৃশ্যপট	drishshopot	drishyopot	drishyo-pot	drishyapat	drishshopot
দৃশ্যমানতা	drishshomanota	drishyomanota	drishyo-manota	drishyamanata	drishshomanota
দ্বন্দ্বমূলক	dwondomulok	dondomulok	dwondo-mulok	dwandwamulaka	dwondomulok
দ্ব্যর্থবোধক	dwyorthobodhOk	dwyarthobodhOk	dwyortho-bodhOk	dvyarthabodhaka	dwyorthobodhOk
দ্ব্যর্থহীন	dwyorthihin	dwyarthohin	dwyortho-hin	dvyarthahin	dwyorthihin
দ্বিপাক্ষিক	dwipakkhik	dipakkhik	দ্বি-pakkhik	dwipakshik	dwipakkhik
দ্বিমুখীতা	dwimukhita	dimukhita	dwi-mukhita	dwimukhita	dwimukhita
দ্বিরুক্তি	dwirukti	dirukti	dwi-rukti	dwirukti	dwirukti
দ্বৈতনাগরিকত্ব	dwoitonagorikotto	dwoitonagorikotto	dwoito-nagorikotto	dwaitanagarikatwa	dwoitonagorikotto
দ্বৈরথ	dwoirotho	dwoiratho	dwoirotho	dwairatha	dwoirotho
দ্রব্যসামগ্রী	drobboshamagri	drabboshamagri	drobbo-shamagri	dravyasamagri	drobboshamogri
দ্রব্যমূল্য	drobbonmullo	drabbomullo	drobbo-mullo	dravyamulya	drobbomullo
দ্রুতগামী	drutogami	drutogamee	druto-gami	drutagami	drutogami
দ্রাঘিমাংশ	draghimangsho	draghimansho	draghima-angsho	draghimangsha	draghimangsho
দ্রষ্টব্য	droshtobbo	drashtabbo	droshto-bbo	drashtavya	droshtobbo
দ্রোহপ্রবণ	drohoprobon	drohoprobon	droho-probon	drohaprabana	drohoprobon
ধ্বংসপ্রাপ্ত	dhongshoprapto	dhwongshoprapto	dhwongsho-prapto	dhwansaprapta	dhongshoprapto
ধ্বনিতত্ত্ব	dhwonitotto	dhonitotto	dhwoni-totto	dhwanitattwa	dhwonitotto
ধ্বনিমুদ্রণ	dhwonimudron	dhonimudron	dhwoni-mudron	dhwanimudran	dhwonimudron
ধৃষ্টতা	dhrishtota	dhrishtota	dhrishto-ta	dhrishtata	dhrishtota
ধ্রুপদীসংগীত	dhrupodishonggit	dhrupodisangit	dhrupodi-shonggit	dhrupadisangit	dhrupodishonggit
ধ্রুবতারা	dhrubotara	dhruvotara	dhruvo-tara	dhruvatara	dhrubotara
ধ্রুবকরণ	dhrubokoron	dhruvokoron	dhruvo-koron	dhruvakaran	dhrubokoron
ধর্মনিরপেক্ষ	dhormoniropekkho	dhormonirapekkho	dhormo-niropekkho	dharmanirapeksha	dhormoniropekkho
ধর্মগ্রন্থ	dhormogrontho	dhormograntho	dhormo-grontho	dharmagrantha	dhormogrontho
ধর্মীয়সম্প্রীতি	dhormiyoshompriti	dhormiyosompriti	dhormiyo-shompriti	dharmiyasampriti	dhormiyoshompriti
ধৈর্যশক্তি	dhoirjoshokti	dhairjoshokti	dhoirjo-shokti	dhairyashakti	dhoirjoshokti
নক্ষত্রপুঞ্জ	nokkhotropunjo	nakshatropunjo	nokkhotro-punjo	nakshatrapunja	nokkhotropunjo
নক্ষত্রলোক	nokkhotrolok	nakshatrolok	nokkhotro-lok	nakshatraloka	nokkhotrolok
নক্ষত্রমণ্ডল	nokkhotromondol	nakshatromondol	nokkhotro-mondol	nakshatramandala	nokkhotromondol
নগ্নপদ	nognopod	nagnopod	nogno-pod	nagnapada	nognopod
নব্বইতম	nobboitomo	nobboitomo	nobboi-tomo	nabboitama	nobboitomo
নিঃশব্দতা	nihshobdota	nishshobdota	nih-shobdota	nihshabdata	nihshobdota
নিঃস্বার্থতা	nihsharthota	nishsharthota	nih-sharthota	nihswarthata	nihsharthota
নিঃসঙ্গতা	nihshonggota	nishshonggota	nih-shonggota	nihsangata	nihshonggota
নিঃসন্দেহে	nihshondehe	nishshondehe	nih-shondehe	nihsandehe	nihshondehe
নিঃশেষিত	nihsheshito	nishsheshito	nih-sheshito	nihsheshita	nihsheshito
নিঃস্পৃহ	nihsprihho	nishprihho	nih-sprihho	nihsprihha	nihsprihho
নিঃশ্বাসপ্রশ্বাস	nihshashproshash	nishshashproshash	nihshash-proshash	nihshwasaprashwas	nihshashproshash
নির্ঘণ্ট	nirghonto	nirghonta	nir-ghonto	nirghanta	nirghonto
নির্ঘুম	nirghum	nirghoom	nir-ghum	nirghuma	nirghum
নির্দিষ্টকরণ	nirdishtokoron	nirdishtokoron	nirdishto-koron	nirdishtakaran	nirdishtokoron
নির্দেশনামূলক	nirdeshonamulok	nirdeshnamulok	nirdeshona-mulok	nirdeshanamulaka	nirdeshonamulok
নির্বাচনযোগ্য	nirbachonjoggo	nirbachonyoggo	nirbachon-joggo	nirbachanayogya	nirbachonjoggo
নির্বিষীকরণ	nirbishikoron	nirvishikoron	nirbishi-koron	nirvishikaran	nirbishikoron
নির্মমতা	nirmomota	nirmamata	nirmomo-ta	nirmamata	nirmomota
নির্মাণশৈলী	nirmanshoili	nirmanshailee	nirman-shoili	nirmanashaili	nirmanshoili
নির্লিপ্ততা	nirliptota	nirlipttota	nir-lipto-ta	nirliptata	nirliptota
নিষ্কণ্টক	nishkontok	nishkantok	nish-kontok	nishkantaka	nishkontok
নিষ্ক্রিয়তা	nishkriyota	nishkriota	nish-kriyota	nishkriyata	nishkriyota
নিষ্কলুষতা	nishkolushota	nishkalushota	nish-kolushota	nishkalushata	nishkolushota
নিষ্পত্তিযোগ্য	nishpottijoggo	nishpottiyoggo	nishpotti-joggo	nishpattiyogya	nishpottijoggo
নিষ্প্রভতা	nishprobhotā	nishprabhotā	nish-probho-ta	nishprabhata	nishprobhotā
নিষ্ফলতা	nishpholota	nishfolota	nish-pholota	nishphalata	nishpholota
নিষ্কাশন	nishkashon	nishkashan	nish-kashon	nishkashana	nishkashon
নিষ্ঠুরতা	nishthurata	nisthurata	nishthuro-ta	nishthurata	nishthurata
নিস্পৃহতা	nisprihota	nisprihhota	nis-priho-ta	nisprihata	nisprihota
নৃত্যশিল্পী	nrityoshilpi	nrityashilpi	nrityo-shilpi	nrityashilpi	nrityoshilpee
